X,Y,Z,Name,description
-41.4956828,-15.9664206,0,"2",
-41.4954767,-15.965031,0,"7",
-41.4961354,-15.9613076,0,"13",
-41.4962481,-15.9614936,0,"14",
-41.4963507,-15.9614355,0,"15",
-41.496694,-15.9611124,0,"16",
-41.4959034,-15.9611736,0,"17",
-41.4958136,-15.961211,0,"18",
-41.4973805,-15.9618278,0,"20",
-41.4980598,-15.9615538,0,"24",
-41.4984849,-15.9613417,0,"26",
-41.4959813,-15.9665091,0,"28",
-41.4965264,-15.9646157,0,"33",muro de adobe
-41.4969771,-15.9644633,0,"40",
-41.4980119,-15.9639338,0,"45",RUÍNAS
-41.4980484,-15.963709,0,"49",
-41.4979194,-15.9639489,0,"51",
-41.4977515,-15.9640303,0,"52",MURO EM RUÍNAS
-41.498211,-15.9659654,0,"65",
-41.4985129,-15.9662983,0,"69",
-41.4982099,-15.967547,0,"78",
-41.4968092,-15.969803,0,"76",
-41.4971381,-15.9675427,0,"92",
-41.4979819,-15.9673794,0,"80",
-41.497699,-15.9680029,0,"96",
-41.4971863,-15.9677095,0,"100",
-41.49919,-15.9678216,0,"105",
-41.5008159,-15.9684657,0,"110",
-41.4961126,-15.969153,0,"123",
-41.4955899,-15.9676652,0,"122",
-41.496138,-15.9692613,0,"124",
-41.4964417,-15.9706152,0,"127",
-41.4967808,-15.970305,0,"136",
-41.4969887,-15.9702701,0,"133",
-41.4973816,-15.9705378,0,"139",
-41.4969914,-15.970619,0,"138",
-41.4974664,-15.9704591,0,"140",
-41.49802,-15.9702877,0,"143",
-41.4973695,-15.9699655,0,"146",
-41.4955382,-15.9705702,0,"149",
-41.4958517,-15.9694551,0,"150",
